path,label,status,issues,duplicate_of
ethiopian cofee leaf dataset/test/Cerscospora/20231123_103427 (2).jpg,Cercospora,conflict,,
ethiopian cofee leaf dataset/test/Cerscospora/20231123_104718 (2).jpg,Cercospora,conflict,,
ethiopian cofee leaf dataset/test/Cerscospora/20231123_105043 (2).jpg,Cercospora,conflict,,
ethiopian cofee leaf dataset/test/Cerscospora/20231123_110227 (2).jpg,Cercospora,conflict,,
ethiopian cofee leaf dataset/test/Cerscospora/20231123_110331 (2).jpg,Cercospora,conflict,,
ethiopian cofee leaf dataset/test/Cerscospora/20231123_110604 (2).jpg,Cercospora,conflict,,
ethiopian cofee leaf dataset/test/Cerscospora/20231123_111350 (2).jpg,Cercospora,conflict,,
ethiopian cofee leaf dataset/test/Cerscospora/20231123_111755 (2).jpg,Cercospora,conflict,,
ethiopian cofee leaf dataset/test/Cerscospora/20231123_115837 (2).jpg,Cercospora,conflict,,
ethiopian cofee leaf dataset/test/Cerscospora/20231123_120635 (2).jpg,Cercospora,conflict,,
ethiopian cofee leaf dataset/test/Cerscospora/20231123_121957 (2).jpg,Cercospora,conflict,,
ethiopian cofee leaf dataset/test/Cerscospora/20231123_122535 (2).jpg,Cercospora,conflict,,
ethiopian cofee leaf dataset/test/Healthy/C11P25E1.jpg,Healthy,duplicate,,ethiopian cofee leaf dataset/test/Healthy/C10P38E1.jpg
ethiopian cofee leaf dataset/test/Healthy/C11P25H1.jpg,Healthy,duplicate,,ethiopian cofee leaf dataset/test/Healthy/C10P38H1.jpg
ethiopian cofee leaf dataset/test/Healthy/C11P26E1.jpg,Healthy,duplicate,,ethiopian cofee leaf dataset/test/Healthy/C11P15E1.jpg
ethiopian cofee leaf dataset/test/Healthy/C11P26H1.jpg,Healthy,duplicate,,ethiopian cofee leaf dataset/test/Healthy/C11P15H1.jpg
ethiopian cofee leaf dataset/test/Healthy/C12P19H2.jpg,Healthy,duplicate,,ethiopian cofee leaf dataset/test/Healthy/C11P11H1.jpg
ethiopian cofee leaf dataset/test/Healthy/C12P21E1.jpg,Healthy,duplicate,,ethiopian cofee leaf dataset/test/Healthy/C11P12E1.jpg
ethiopian cofee leaf dataset/test/Healthy/C12P21H1.jpg,Healthy,duplicate,,ethiopian cofee leaf dataset/test/Healthy/C11P12H1.jpg
ethiopian cofee leaf dataset/test/Healthy/C12P25E1.jpg,Healthy,duplicate,,ethiopian cofee leaf dataset/test/Healthy/C10P23E1.jpg
ethiopian cofee leaf dataset/test/Healthy/C12P28E1.jpg,Healthy,duplicate,,ethiopian cofee leaf dataset/test/Healthy/C11P19E1.jpg
ethiopian cofee leaf dataset/test/Healthy/C12P28H1.jpg,Healthy,duplicate,,ethiopian cofee leaf dataset/test/Healthy/C11P19H1.jpg
ethiopian cofee leaf dataset/test/Healthy/C12P29E1.jpg,Healthy,duplicate,,ethiopian cofee leaf dataset/test/Healthy/C11P20E1.jpg
ethiopian cofee leaf dataset/test/Healthy/C12P29H1.jpg,Healthy,duplicate,,ethiopian cofee leaf dataset/test/Healthy/C11P20H1.jpg
ethiopian cofee leaf dataset/test/Healthy/C12P30E1.jpg,Healthy,duplicate,,ethiopian cofee leaf dataset/test/Healthy/C11P21E1.jpg
ethiopian cofee leaf dataset/test/Healthy/C12P31E1.jpg,Healthy,duplicate,,ethiopian cofee leaf dataset/test/Healthy/C10P26E1.jpg
ethiopian cofee leaf dataset/test/Healthy/C12P31H1.jpg,Healthy,duplicate,,ethiopian cofee leaf dataset/test/Healthy/C10P26H1.jpg
ethiopian cofee leaf dataset/test/Healthy/C12P32E1.jpg,Healthy,duplicate,,ethiopian cofee leaf dataset/test/Healthy/C11P18E1.jpg
ethiopian cofee leaf dataset/test/Healthy/C12P32H1.jpg,Healthy,duplicate,,ethiopian cofee leaf dataset/test/Healthy/C11P18H1.jpg
ethiopian cofee leaf dataset/test/Healthy/C12P34E1.jpg,Healthy,duplicate,,ethiopian cofee leaf dataset/test/Healthy/C11P24E1.jpg
ethiopian cofee leaf dataset/test/Healthy/C12P34H1.jpg,Healthy,duplicate,,ethiopian cofee leaf dataset/test/Healthy/C11P24H1.jpg
ethiopian cofee leaf dataset/test/Leaf rust/20231123_101627.jpg,Leaf Rust,conflict,,
ethiopian cofee leaf dataset/test/Leaf rust/20231123_102545.jpg,Leaf Rust,conflict,,
ethiopian cofee leaf dataset/test/Leaf rust/20231123_104318.jpg,Leaf Rust,conflict,,
ethiopian cofee leaf dataset/test/Leaf rust/20231123_112237.jpg,Leaf Rust,conflict,,
ethiopian cofee leaf dataset/test/Leaf rust/20231123_120645.jpg,Leaf Rust,conflict,,
ethiopian cofee leaf dataset/test/Leaf rust/C11P26E2.jpg,Leaf Rust,duplicate,,ethiopian cofee leaf dataset/test/Leaf rust/C11P14E2.jpg
ethiopian cofee leaf dataset/test/Leaf rust/C12P18E2.jpg,Leaf Rust,duplicate,,ethiopian cofee leaf dataset/test/Leaf rust/C11P10E2.jpg
ethiopian cofee leaf dataset/test/Leaf rust/C12P18H2.jpg,Leaf Rust,duplicate,,ethiopian cofee leaf dataset/test/Leaf rust/C11P10H2.jpg
ethiopian cofee leaf dataset/test/Leaf rust/C12P25E2.jpg,Leaf Rust,duplicate,,ethiopian cofee leaf dataset/test/Leaf rust/C11P15E2.jpg
ethiopian cofee leaf dataset/test/Leaf rust/C12P34E2.jpg,Leaf Rust,duplicate,,ethiopian cofee leaf dataset/test/Leaf rust/C11P23E2.jpg
ethiopian cofee leaf dataset/test/Leaf rust/C12P34H2.jpg,Leaf Rust,duplicate,,ethiopian cofee leaf dataset/test/Leaf rust/C11P23H2.jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/1550.jpg,Cercospora,conflict,,
ethiopian cofee leaf dataset/train aug/Cerscospora/20231122_135241 (2).jpg,Cercospora,conflict,,
ethiopian cofee leaf dataset/train aug/Cerscospora/20231122_135324 (2).jpg,Cercospora,conflict,,
ethiopian cofee leaf dataset/train aug/Cerscospora/20231122_135455.jpg,Cercospora,conflict,,
ethiopian cofee leaf dataset/train aug/Cerscospora/20231122_135521 (2).jpg,Cercospora,conflict,,
ethiopian cofee leaf dataset/train aug/Cerscospora/20231122_135529.jpg,Cercospora,conflict,,
ethiopian cofee leaf dataset/train aug/Cerscospora/20231122_135612 (2).jpg,Cercospora,conflict,,
ethiopian cofee leaf dataset/train aug/Cerscospora/20231122_140239.jpg,Cercospora,conflict,,
ethiopian cofee leaf dataset/train aug/Cerscospora/20231122_140441 (2).jpg,Cercospora,conflict,,
ethiopian cofee leaf dataset/train aug/Cerscospora/20231122_140550 (2).jpg,Cercospora,conflict,,
ethiopian cofee leaf dataset/train aug/Cerscospora/20231122_141201 (2).jpg,Cercospora,conflict,,
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_100531 (2).jpg,Cercospora,conflict,,
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_101429 (2).jpg,Cercospora,conflict,,
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_102459 (2).jpg,Cercospora,conflict,,
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_102636 (2).jpg,Cercospora,conflict,,
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_102720 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_102720 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_102724 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_102724 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_102808 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_102808 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_102811 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_102811 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_102814 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_102814 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_102817 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_102817 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_102822 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_102822 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_102826 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_102826 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_102829 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_102829 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_102832 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_102832 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_102837 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_102837 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_102843 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_102843 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_102846 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_102846 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_102849 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_102849 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_102852 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_102852 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_102859 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_102859 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_102905 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_102905 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_102929 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_102929 (2).jpg
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_102937 (2).jpg,Cercospora,duplicate,,ethiopian cofee leaf dataset/test/Cerscospora/20231123_102937 (2).jpg
