path,cache_path,sha256,label,split,predicted,given_label_prob,predicted_prob
ethiopian cofee leaf dataset/train aug/Cerscospora/20231122_141243 (2).jpg,cercospora/5471487eef2b5ca652f3.jpg,5471487eef2b5ca652f361fa415b10fd61bcc91694a2877de4ce35f99783beed,Cercospora,train,Leaf Rust,0.00014969224866945297,0.9997592568397522
ethiopian cofee leaf dataset/train aug/Leaf rust/20231122_135541 (2).jpg,leaf_rust/977fcb3bcf18819ac998.jpg,977fcb3bcf18819ac9986b9c386645d126d431de2cad4763b3bc673fafd72cf4,Leaf Rust,train,Cercospora,0.00014972721692174673,0.9998477697372437
ethiopian cofee leaf dataset/train aug/Cerscospora/20231122_155706 (2).jpg,cercospora/c65316b6a524aac6d1d1.jpg,c65316b6a524aac6d1d1a5546f61631b5a9faa8e461130c8c89e61c38ee2d392,Cercospora,train,Leaf Rust,0.00034771900391206145,0.9995788931846619
ethiopian cofee leaf dataset/test/Phoma/20231121_122451.jpg,phoma/82f7a552ce14eadaffa6.jpg,82f7a552ce14eadaffa6e7738bbc073c0febb496b3900e117ec26daf0b8625fa,Phoma,test,Leaf Rust,0.00048261540359817445,0.9995148181915283
ethiopian cofee leaf dataset/test/Leaf rust/20231123_121008.jpg,leaf_rust/4002b38ba7d2c2a36942.jpg,4002b38ba7d2c2a369420d99c2b0f980968c27b9003ec4cda5e0f0a3a0d6ee71,Leaf Rust,val,Cercospora,0.0006430390058085322,0.9962039589881897
ethiopian cofee leaf dataset/test/Cerscospora/20231123_123100 (2).jpg,cercospora/2f464aa211a12baed474.jpg,2f464aa211a12baed474a88665d216200f99e942508a12333862543244c2aed9,Cercospora,train,Leaf Rust,0.001754843513481319,0.9982276558876038
ethiopian cofee leaf dataset/train aug/Leaf rust/1593.jpg,leaf_rust/e74618dda41a665a24ee.jpg,e74618dda41a665a24ee7741b8b8003b02419279b4e006791cdc943be15a24e7,Leaf Rust,train,Healthy,0.002543643582612276,0.9919024109840393
ethiopian cofee leaf dataset/test/Leaf rust/20231123_122228.jpg,leaf_rust/7bce9bedec219257ee1b.jpg,7bce9bedec219257ee1bedde9788b5c6677176346a0ca89e49109784bd6f260b,Leaf Rust,train,Cercospora,0.0025734014343470335,0.9974228143692017
ethiopian cofee leaf dataset/train aug/Cerscospora/20231122_141539 (2).jpg,cercospora/708f699d081c3ff9e438.jpg,708f699d081c3ff9e43894e3f0c4ae0f19ef139ba4d38e953aa67ede1e6df6d1,Cercospora,train,Leaf Rust,0.005773503333330154,0.9940599799156189
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_100950 (2).jpg,cercospora/64f08c7c67ce7e7b65e0.jpg,64f08c7c67ce7e7b65e088bb20c1672a4ba2b871176a32e49f22f4a4009acfdc,Cercospora,train,Leaf Rust,0.006025327835232019,0.9918888211250305
ethiopian cofee leaf dataset/train aug/Leaf rust/20231122_135516 (2).jpg,leaf_rust/62abbc9ca460ffd3c7fa.jpg,62abbc9ca460ffd3c7fa6ed17494750f46bff85adad4dc5923c4a7a024bfc207,Leaf Rust,train,Cercospora,0.011265681125223637,0.9879520535469055
ethiopian cofee leaf dataset/test/Healthy/C10P33H2.jpg,healthy/08921df98692faab31ae.jpg,08921df98692faab31ae6eb58e6f152cbe1029f02195ce33ca0f7306a03b7546,Healthy,train,Leaf Rust,0.012050752528011799,0.9836312532424927
ethiopian cofee leaf dataset/train aug/Cerscospora/20231123_102454 (2).jpg,cercospora/6e621810a0fca3d24267.jpg,6e621810a0fca3d242674ab9cb2af82d2346850559fde5109e53030f72c80c1d,Cercospora,train,Leaf Rust,0.012098812498152256,0.9877896308898926
ethiopian cofee leaf dataset/train aug/Leaf rust/20231122_140444 (2).jpg,leaf_rust/9de3e88b424fb44b32e0.jpg,9de3e88b424fb44b32e0d743322544cf8508c88477f4b5d0924d2c2f7fb31904,Leaf Rust,test,Cercospora,0.0199226513504982,0.9796262383460999
ethiopian cofee leaf dataset/test/Leaf rust/20231123_120650.jpg,leaf_rust/21a95787ccab0cc62327.jpg,21a95787ccab0cc62327b03389b971c57e159fdd930dd142a4bfc010a774019c,Leaf Rust,test,Cercospora,0.031010404229164124,0.9689640998840332
ethiopian cofee leaf dataset/test/Cerscospora/20231123_112233 (2).jpg,cercospora/734b9d5909cf4fb3d149.jpg,734b9d5909cf4fb3d149099d51997c6f280b553cd2e253d55503659e10ec169d,Cercospora,train,Leaf Rust,0.04605090245604515,0.9539480209350586
ethiopian cofee leaf dataset/train aug/Phoma/DSC_0462.JPG,phoma/0dd13fef81601fffe9ae.jpg,0dd13fef81601fffe9aee2b967d9ad20b81ef0beebd7d10087245e47997aa151,Phoma,train,Leaf Rust,0.047656651586294174,0.9505512118339539
ethiopian cofee leaf dataset/test/Cerscospora/20231123_110039 (2).jpg,cercospora/58a412557ca58caeab5d.jpg,58a412557ca58caeab5d3c7d082d9b2ded0b21373f7ff19a7ece83d472f688c7,Cercospora,test,Leaf Rust,0.05449309200048447,0.9455068707466125
ethiopian cofee leaf dataset/test/Leaf rust/20231123_123025.jpg,leaf_rust/3df3f75bf2c6da08986e.jpg,3df3f75bf2c6da08986eefd1c9cf25e7c6160b1b1baafaa95515af2a419f9f74,Leaf Rust,test,Cercospora,0.10091280192136765,0.8989633321762085
